3469_第一九三章 寂寞沙洲冷（上）
3306_第一九四章 寂寞沙洲冷（下）
3097_第一九五章 话别（上）
3568_第一九六章 话别（下）
8757_第一九七章 种子
4206_第一九八章 旅途
3209_第一九九章 常州码头
4518_第二百〇一章 扮猪吃虎
4683_第二百〇二章 流光飞舞
5349_第二百〇三章 杭州
5226_第二〇四章 怪心情
6290_第二〇五章 钱希文
4007_第二〇六章 依荷
5213_第二〇七章 家事
4710_第二〇八章 初露
3972_第二〇九章 晴朗
3649_第二一〇章 送一盒蚕
4968_第二一一章 姐妹
3447_第二一二章 睡一晚
4393_第二一三章 灾变（一）
5683_第二一四章 灾变（二）
3785_第二一五章 灾变（三）
4317_第二一六章 灾变（四）
3836_第二一七章 灾变（五）
3641_第二一八章 灾变（六）
5763_第二一九章 灾变（七）
7429_第二二零章 灾变（八）
4287_第二二一章 火夜（一）
3504_第二二二章 火夜（二）
5125_第二二三章 火夜（三）
6152_第二二四章 火夜（四）
5207_第二二五章 火夜（五）
4735_第二二六章 力所能及
3523_第二二七章 围城（一）
3355_第二二八章 围城（二）
4326_第二二九章 围城（三）
4202_第二三〇章 围城（四）
3210_第二三一章 围城（五）
3870_第二三二章 围城（六）
3362_第二三三章 英雄多故谋夫病（上）
4834_第二三四章 英雄多故谋夫病（下）
200_开单章！！！求月票！！！
4058_第二三五章 回家的路（一）
6789_第二三六章 回家的路（二）
6650_第二三七章 回家的路（三）
3455_第二三八章 回家的路（四）
6170_第二三九章 回家的路（五）
4867_第二四零章 回家的路（六）
3560_第二四一章 回家的路（七）
4220_第二四二章 沦陷后的杭州
457_最近……
3517_第二四三章 重操旧业
4409_第二四四章 二人的孤岛
4244_第二四五章 濡沫
5611_第二四六章 书院小事
3229_第二四七章 弦动
4108_第二四八章 野心
3744_第二四九章 突破口
4113_第二五〇章 楼书望
4339_第二五一章 死给你看
3941_第二五二章 要有信仰
3346_第二五三章 立场
3380_第二五四章 入伙
4305_第二五五章 纲领
3522_第二五六章 女元帅
5138_第二五七章 无趣之人
3103_第二五八章 萍聚
3297_第二五九章 动心
5318_第二六〇章 霸气外露刘西瓜
6473_第二六一章 秋叶
4437_第二六二章 山雨
3280_第二六三章 斯文败类
3851_第二六四章 八卦
3880_第二六五章 密会
3466_第二六六章 婉拒、叠浪
5310_第二六七章 狭路
5475_第二六八章 从死局，到死局
4068_第二八九章 藏锋
5014_第二七〇章 夜凉
3883_第二七一章 看似收尾的街景
4099_第二七二章 一波未平
4422_第二七三章 血、火、刀、枪
3894_第二七四章 抢风头
7524_第二七五章 牧羊女
3791_第二七六章 晨雾
5996_第二七七章 晨雾（下）
3524_第二七八章 肃杀铁幕下的小事开端
4671_第二七九章 枝节
3626_第二八〇章 冰冷
6775_第二八一章 看见蟑螂也不怕不怕了……
3307_第二八二章 由来一声笑，男儿自横行
5018_第二八三章 惊神一刺
5379_第二八四章 天南霸刀 无形黑手
3549_第二八五章 霸烈长诗 兵锋卷起
3341_第二八六章 陈家翠花 含血喷人
3720_第二八七章 同志、家人
3213_第二八八章 夫妻夜话 河山铁剑
3100_第二八九章 无主之地 吕梁变迁
3500_第二九〇章 心事 巨网
4856_第二九一章 滔滔大势 小小涡流
5389_第二九二章 最怕神经病
5021_第二九三章 我来接人
4243_第二九四章 带你看烟火
3861_第二九五章 烽烟回绕
4047_第二九六章 黄河欲度冰塞川
5099_第二九七章 围城中的三两事（圣诞快乐）
3376_第二九八章 冬
5763_第二九九章 最不合时宜的刺杀
4737_第三百章 我喜欢他
4271_第三〇一章 议婚议嫁
4376_第三〇二章 再婚通知
3672_第三〇三章 那一场风花雪月……
5502_第三〇四章 ……以及走火入魔的传说故事
7935_第三〇五章 雄关漫道 八百虎盟（七千字大章求月票）
3907_第三〇六章 无耻背叛 一声叹息（求月票）
234_求月票，顺便推一首歌。
7181_第三〇七章 撕心痛哭 不净莲华（第三集终，求月票）
1_2012及第三集小结
3626_第三〇八章 铁剑山河 天涯再会（上）
5344_第三〇九章 铁剑山河 天涯再会（中）
4844_第三一〇章 铁剑山河 天涯再会（下）
4373_第三一一章 喧嚣热闹 一门天真
7322_第三一二章 错估、脑补、误会
4059_第三一三章 性别不同怎么相爱
4321_第三一四章 如你在跟 前世过门
4241_第三一五章 锦儿姑娘
3952_第三一六章 春暖
3350_第三一七章 家常剧目
4537_第三一八章 励志
4466_第三一九章 晚春夜 孔明灯
3699_第三二零章 三月春花渐次醒
4211_第三二一章 恶念
4297_第三二二章 闹剧一出人伤心
4049_第三二三章 家事（一）
3249_第三二四章 家事（二）
4181_第三二五章 家事（三）
3033_第三二六章 家事（四）
3122_第三二七章 阴天（上）
4139_第三二八章 阴天（下）
3313_第三二九章 暴雨（一）
3281_第三三〇章 暴雨（二）
297_本想求个月票，想了想推本书吧（另附写作计划）
4193_第三三一章 暴雨（三）
3_单章，做个预警，大家来看看。
4074_第三三二章 暴雨（四）
4812_第三三三章 暴雨（五）
4183_第三三四章 暴雨（六）
4589_第三三五章 暴雨（七）
6290_第三三六章 暴雨（完）（六千字大章）
3370_第三三七章 新院旧竹
3365_第三三八章 水泊故事
3282_第三三九章 分家
3947_第三四〇章 狼
4152_第三四一章 交托
4020_第三四二章 纷乱
3226_第三四三章 去留
3051_第三四四章 临行（上）
5322_第三四五章 临行（下）
3160_第三四六章 幻听
26_没搞定，得往后推一推了……
4250_第三四七章 旅程小事（上）
6193_第三四八章 旅程小事（中）
5784_第三四九章 旅程小事（下）
5_灿若星河（28岁生日随笔）
4232_第三五〇章 吵吵闹闹的夜与昼
4618_第三五一章 雨幕
3357_第三五二章 谍影重重
4943_第三五三章 人生路窄 所谓缘分
4307_第三五四章 馨宁光影 涌动暗潮
3157_第三五五章 算计背后 螳螂捕蝉（上）
4706_第三五六章 算计背后 螳螂捕蝉（下）
3184_第三五七章 正派反派 黑脸白脸（上）
3250_第三五八章 正派反派 黑脸白脸（下）
3291_第三五九章 一线希望 半缕微光
6671_第三六〇章 凄凉墨色 星夜俱沉
4760_第三六一章 无间
3598_第三六二章 风雨阳光 旅程琐事（上）
3831_第三六三章 风雨阳光 旅程琐事（下）
3157_第三六四章 古都
5384_第三六五章 心之所愿 天下大同（上）
3902_第三六七章 初临
3955_第三六八章 夜色
